-1.49076,1.39341,-0.0153275,97.2608
1.32512,-1.28305,0.120947,10.9562
-1.1334,1.05177,0.064114,17.6778
-1.44,0.825389,-0.0865049,16.6464
-1.51853,0.533133,-0.162273,9.35785
-1.09324,0.870813,0.126598,8.63557
-1.23754,0.612758,-0.00351949,351.625
-1.06451,0.328572,0.126196,8.4354
-0.846343,0.210354,0.16054,5.27186
-0.922691,0.117938,0.0117988,78.2022
-0.928576,0.149968,0.0958841,9.68436
-0.937469,-0.424571,-0.0572338,16.3796
-1.18013,-0.656212,-0.343903,3.43157
-0.544816,0.254566,-0.0620895,8.77469
-1.32175,-0.633526,-0.188246,7.02137
-1.72168,-0.664485,-0.337331,5.10384
-1.25176,-0.2526,0.0422242,29.6456
-0.880877,0.278116,-0.0620366,14.1993
-1.33878,0.304957,-0.15321,8.73816
-1.55323,-0.395408,0.036112,43.0114
-2.07278,-0.113536,-0.00366803,565.094
-1.49164,0.33813,0.0569328,26.2
-2.19247,-0.25476,0.202445,10.83
-3.14123,-0.640732,-0.0632819,49.6387
-2.45154,-0.470619,0.0601607,40.7499
-2.11689,0.56123,-0.0435272,48.6338
-2.27112,-0.259318,0.227916,9.96473
-2.11575,0.408091,-0.0726213,29.134
-2.6572,0.30985,0.0646606,41.0946
-3.51196,-0.697524,-0.350183,10.0289
-2.4608,-0.292149,0.010684,230.327
-2.94742,-0.480823,-0.168881,17.4526
-1.68802,0.705743,0.431424,3.91266
-1.70032,0.627885,0.233673,7.27648
-1.76821,0.861919,0.388627,4.54989
-3.1438,-0.272645,-0.04461,70.4728
-3.37439,-0.213311,-0.0445491,75.7455
-3.67469,-0.653325,-0.232392,15.8125
-3.12304,-0.637791,-0.286548,10.8989
-2.97282,0.500693,-0.264775,11.2277
-3.08232,-0.771418,0.174666,17.6469
-2.37381,0.589509,-0.39911,5.94776
-2.04498,0.465289,-0.25399,8.05144
-2.48511,-0.743762,0.0146242,169.932
-2.80461,-0.668873,0.0520785,53.8535
-1.70487,0.323459,-0.311078,5.48054
-1.45941,-0.686554,0.158783,9.19123
-1.63114,-0.847338,0.0364683,44.7275
-1.53022,-0.452439,0.332019,4.60884
-1.16786,-0.346475,0.0836536,13.9606
-1.85353,-0.729505,-0.240341,7.71206
-1.66661,-0.440108,-0.0757329,22.0065
-0.973674,0.255695,-0.138119,7.04955
-0.796373,0.655387,0.224878,3.54136
-1.9385,0.447956,-0.397069,4.88201
