43.7535,48.0143,41.9813,0.0485912,-0.109093,-0.992843,0,1,0.271038
43.2289,45.7602,42.9591,0.0426571,-0.143219,-0.988771,0,0,0.259402
42.5058,45.548,42.9593,0.0459733,-0.16871,-0.984593,0,0,0.260745
43.4011,43.5547,42.7682,0.0317022,-0.14531,-0.988878,-1,0,0.269583
42.0212,43.9478,42.938,0.038351,-0.183131,-0.98234,-1,0,0.267455
39.979,41.9774,42.7475,0.0501397,-0.25658,-0.965221,-1,0,0.285195
39.1458,41.8814,42.8211,0.0657918,-0.303405,-0.950588,-1,0,0.289561
38.7469,42.4328,42.9247,0.0769782,-0.332387,-0.939996,-1,0,0.287235
37.2221,42.2987,42.9424,0.128308,-0.447775,-0.884892,-1,1,0.291463
36.936,43.6862,42.1099,0.109465,-0.415273,-0.903087,0,1,0.290767
36.6328,42.8994,42.5463,0.129288,-0.458714,-0.879128,0,1,0.291186
36.3334,43.2814,43.1741,0.153108,-0.496479,-0.854439,0,1,0.281642
37.1642,44.3265,42.5694,0.123279,-0.43745,-0.890752,0,1,0.281196
37.4835,43.9993,44.081,0.175942,-0.523771,-0.833492,-1,0,0.269925
37.4836,43.2645,44.4756,0.18854,-0.534935,-0.823588,-1,0,0.274402
37.5122,43.005,45.7581,0.246729,-0.580584,-0.775917,-1,0,0.270621
36.9847,43.1322,45.0738,0.216945,-0.561273,-0.798691,0,1,0.271559
36.429,41.9049,44.7237,0.211441,-0.552722,-0.806096,0,1,0.28346
36.9278,41.5938,44.098,0.184917,-0.523153,-0.831936,0,1,0.289952
37.0298,41.6021,46.6363,0.292426,-0.592111,-0.750927,0,1,0.280091
36.5072,41.3195,46.0897,0.281807,-0.589115,-0.757316,0,1,0.283273
36.9892,41.4836,45.4356,0.250754,-0.57248,-0.780634,-1,1,0.286783
37.4923,39.6331,45.5986,0.294441,-0.590394,-0.751491,0,0,0.307186
36.9897,40.1911,45.4175,0.273296,-0.58225,-0.765699,0,1,0.29986
37.4445,38.0357,47.5316,0.440759,-0.609183,-0.659263,0,0,0.324454
36.379,38.1251,46.7599,0.390237,-0.616107,-0.684199,0,1,0.317276
36.8571,38.1772,46.0477,0.348618,-0.612157,-0.709738,0,1,0.321585
37.437,38.5541,46.3744,0.359405,-0.607182,-0.708631,0,0,0.320272
36.9589,38.502,47.0866,0.396307,-0.609949,-0.686224,0,1,0.315963
36.2091,37.3038,47.0643,0.426749,-0.620632,-0.657801,0,1,0.324531
36.4607,36.6313,46.4703,0.4218,-0.627358,-0.654605,0,1,0.338078
37.2283,37.5366,45.634,0.34088,-0.617995,-0.708437,0,0,0.333961
36.0689,36.8104,44.6981,0.321353,-0.641162,-0.696881,0,1,0.342939
36.4202,36.6473,43.987,0.285734,-0.640623,-0.712712,0,0,0.351456
